[2022-03-20 15:01:16] Executing startup tasks
[2022-03-20 15:01:16] Java(TM) SE Runtime Environment 11.0.11+9-LTS-194
[2022-03-20 15:01:16] Product self.product.version
[2022-03-20 15:01:16] Workspace /home/arsene/Project/school-projects/mdeforge/advanced-query-mechanisms/runtime-New_configuration
[2022-03-20 15:01:16] Bundle org.eclipse.oomph.setup 1.19.0.v20210412-0821, build=5098, branch=e6921d40c03b97da4a9745c21aebe11452d2b86f
[2022-03-20 15:01:16] Bundle org.eclipse.oomph.setup.core 1.20.0.v20210411-0650, build=5098, branch=e6921d40c03b97da4a9745c21aebe11452d2b86f
[2022-03-20 15:01:16] Bundle org.eclipse.oomph.setup.p2 1.16.0.v20200814-1205, build=4919, branch=f78238ba11ce04fb6bb89f0cb98f4dd759377d1d
[2022-03-20 15:01:16] Performing Preference /instance/org.eclipse.ant.ui/org.eclipse.ant.ui.commentsColor = 128,0,0
[2022-03-20 15:01:16] Performing Preference /instance/org.eclipse.ant.ui/org.eclipse.ant.ui.constantStringsColor = 0,128,0
[2022-03-20 15:01:16] Performing Preference /instance/org.eclipse.ant.ui/org.eclipse.ant.ui.debugColor = 0,0,0
[2022-03-20 15:01:16] Performing Preference /instance/org.eclipse.ant.ui/org.eclipse.ant.ui.dtdColor = 128,0,0
[2022-03-20 15:01:16] Performing Preference /instance/org.eclipse.ant.ui/org.eclipse.ant.ui.errorColor = 255,0,0
[2022-03-20 15:01:16] Performing Preference /instance/org.eclipse.ant.ui/org.eclipse.ant.ui.informationColor = 0,0,255
[2022-03-20 15:01:16] Performing Preference /instance/org.eclipse.ant.ui/org.eclipse.ant.ui.processingInstructionsColor = 128,128,128
[2022-03-20 15:01:16] Performing Preference /instance/org.eclipse.ant.ui/org.eclipse.ant.ui.tagsColor = 0,0,128
[2022-03-20 15:01:16] Performing Preference /instance/org.eclipse.ant.ui/org.eclipse.ant.ui.textColor = 0,0,0
[2022-03-20 15:01:16] Performing Preference /instance/org.eclipse.debug.ui/Console.highWaterMark = 88000
[2022-03-20 15:01:16] Performing Preference /instance/org.eclipse.debug.ui/org.eclipse.debug.ui.changedDebugElement = 255,0,0
[2022-03-20 15:01:16] Performing Preference /instance/org.eclipse.debug.ui/org.eclipse.debug.ui.consoleBackground = 255,255,255
[2022-03-20 15:01:16] Performing Preference /instance/org.eclipse.debug.ui/org.eclipse.debug.ui.errorColor = 255,0,0
[2022-03-20 15:01:16] Performing Preference /instance/org.eclipse.debug.ui/org.eclipse.debug.ui.inColor = 0,200,125
[2022-03-20 15:01:16] Performing Preference /instance/org.eclipse.debug.ui/org.eclipse.debug.ui.MemoryHistoryKnownColor = 0,0,0
[2022-03-20 15:01:16] Performing Preference /instance/org.eclipse.debug.ui/org.eclipse.debug.ui.MemoryHistoryUnknownColor = 114,119,129
[2022-03-20 15:01:16] Performing Preference /instance/org.eclipse.debug.ui/org.eclipse.debug.ui.outColor = 0,0,0
[2022-03-20 15:01:16] Performing Preference /instance/org.eclipse.debug.ui/org.eclipse.debug.ui.PREF_CHANGED_VALUE_BACKGROUND = 255,255,0
[2022-03-20 15:01:16] Performing Preference /instance/org.eclipse.e4.ui.css.swt.theme/themeid = org.eclipse.e4.ui.css.theme.e4_default
[2022-03-20 15:01:16] Performing Preference /instance/org.eclipse.e4.ui.workbench.renderers.swt/enableMRU = true
[2022-03-20 15:01:16] Performing Preference /instance/org.eclipse.e4.ui.workbench.renderers.swt/themeEnabled = true
[2022-03-20 15:01:16] Performing Preference /instance/org.eclipse.e4.ui.workbench.renderers.swt/USE_ROUND_TABS = false
[2022-03-20 15:01:16] Performing Preference /instance/org.eclipse.jdt.ui/org.eclipse.jdt.ui.text.custom_templates = <?xml version="1.0" encoding="UTF-8" standalone="no"?><templates/>
[2022-03-20 15:01:16] Performing Preference /instance/org.eclipse.jdt.ui/pf_coloring_argument = 223,74,22
[2022-03-20 15:01:16] Performing Preference /instance/org.eclipse.jdt.ui/pf_coloring_assignment = 255,255,255
[2022-03-20 15:01:16] Performing Preference /instance/org.eclipse.jdt.ui/pf_coloring_comment = 223,74,22
[2022-03-20 15:01:16] Performing Preference /instance/org.eclipse.jdt.ui/pf_coloring_key = 255,255,255
[2022-03-20 15:01:16] Performing Preference /instance/org.eclipse.jdt.ui/pf_coloring_value = 255,255,255
[2022-03-20 15:01:16] Performing Preference /instance/org.eclipse.pde.ui/editor.color.default = 0,0,0
[2022-03-20 15:01:16] Performing Preference /instance/org.eclipse.pde.ui/editor.color.externalized_string = 128,0,128
